Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,C_0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,87.122,-160.401,180,top
C201,C_0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,46.863,-103.505,270,top
C202,C_0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,35.179,-102.489,180,top
C203,C_0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,41.783,-103.505,270,top
C301,C_0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,49.4665,-87.3125,270,top
C302,C_0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,38.0365,-87.3125,270,top
C303,C_0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,44.3865,-87.3125,270,top
D101,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,149.86,-120.904,180,top
D102,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,149.86,-114.808,180,top
D103,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,149.86,-108.712,180,top
D104,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,149.86,-102.616,180,top
D105,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,146.812,-96.52,180,top
R101,R_15k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,45.9105,-76.8985,180,top
R102,R_4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,45.9105,-72.9615,0,top
R103,R_10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,55.245,-107.95,0,top
R104,R_750,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,157.48,-120.904,0,top
R105,R_750,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,157.48,-114.808,0,top
R106,R_750,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,157.48,-108.712,0,top
R107,R_750,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,157.48,-102.616,0,top
R108,R_750,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,154.432,-96.52,0,top
R109,R_10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,56.515,-128.27,90,top
R201,R_270,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,35.179,-95.758,0,top
R202,R_10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,46.228,-97.155,90,top
R301,R_270,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,41.2115,-75.8825,270,top
R302,R_10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,48.4505,-81.8515,180,top